Road,Number_of_Fees(sheet/day),Total_Parking_Hours(hours/day),Number_of_Parking_Space,Hours_per_sheet,Time_Start,Time_End,Interval,Space_efficiency
新湖三路,160.4942529,260.1931034,437.7862069,1.621198883,9:00,17:00,8,7.40%
新湖三路219巷(無名巷三),37.16321839,106.9287356,36.73563218,2.87727329,9:00,17:00,8,36.40%
新湖一路,252.8333333,481.3715847,695.0601093,1.903908707,9:00,17:00,8,8.70%
新湖一路339巷,12.95854922,24.06735751,23.34196891,1.857257097,10:00,16:00,6,17.20%
新湖一路358巷及27弄,25.40689655,48.83218391,31.14712644,1.922005067,11:00,17:00,6,26.10%
新民街,17.49043062,31.74521531,12.90789474,1.815004787,7:00,20:00,13,18.90%
新明路,97.24832215,187.1275168,135.7852349,1.924223602,9:00,17:00,8,17.20%
新生北路1段兩側,156.0504673,125.9943925,97.63364486,0.807395163,7:00,20:00,13,9.90%
新生北路二段28巷,15.79490806,25.96039604,8.021216407,1.643592729,7:00,20:00,13,24.90%
新生北路橋下外圍,186.992891,358.0924171,228.0521327,1.915005513,7:00,20:00,13,12.10%
新生北路三段,31.52183908,61.63448276,82.01149425,1.955294632,9:00,17:00,8,9.40%
新生北路三段Y00,10.33101852,17.90509259,19.35416667,1.733139144,9:00,17:00,8,11.60%
新生北路三段Z00,3.07977208,5.977207977,1.219373219,1.94079556,7:00,20:00,13,37.70%
新生北路一段,42.7700831,57.35734072,23.66204986,1.341062176,7:00,21:00,14,17.30%
新生北橋側,155.3717328,324.3262343,141.2981607,2.087421105,7:00,18:00,11,20.90%
新生北橋下A(六),393.124502,823.9472112,406.1772908,2.095893812,0:00,23:59,24,8.50%
新生北橋下A(七),166.7838645,333.3894422,171.4133466,1.998931031,7:00,22:00,15,13.00%
新生北橋下B(四),101.6324701,223.5587649,103.6513944,2.199678554,0:00,23:59,24,9.00%
新生北橋下B(五),88.08366534,186.5737052,54.26992032,2.118141933,0:00,23:59,24,14.30%
新生北橋下C(二),69.88545817,167.7908367,79.28784861,2.40094064,7:00,22:00,15,14.10%
新生北橋下C(三),59.01095618,131.438247,54.10956175,2.227353284,7:00,21:30,14.5,16.80%
新生北橋下D(一),352.809761,792.4033865,457.186255,2.245979205,7:00,21:30,14.5,12.00%
新生廣場A,100.998008,160.8655378,78.3247012,1.592759512,7:00,21:00,14,14.70%
新生南路三段,29.5106929,37.49101796,13.42600513,1.270421474,9:00,17:00,8,34.90%
新生南路一段,99.74157303,80.02059925,83.1423221,0.802279299,12:00,20:00,8,12.00%
新行一機車平面停車場,42.875,21.1875,196.25,0.494169096,9:00,20:00,11,1.00%
新中街,95.10517241,150.0965517,96.29827586,1.578216494,7:00,20:00,13,12.00%
新中街52巷,29.5,162,44,5.491525424,9:00,17:00,8,46.00%
信安街,63.1583265,151.8769483,84.12059065,2.404701909,9:00,17:00,8,22.60%
信陽街（機車計次）,203.3441109,203.3441109,174,1,9:00,17:00,8,14.60%
信義路二段,53.67554859,70.96708464,38.6645768,1.322149219,9:00,17:00,8,22.90%
信義路二段44巷,8.588855422,13.43222892,7.38253012,1.56391373,9:00,17:00,8,22.70%
信義路四段186巷,63.44597701,142.7885057,40.6045977,2.250552556,7:00,20:00,13,27.10%
信義路四段199巷,24.07586207,50.25747126,19.28735632,2.087463,9:00,17:00,8,32.60%
