Road,Number_of_Parking_Space,Hours_per_sheet,Space_efficiency,Road_Start,Road_End
金龍路,134.2528736,1.855946399,14.20%,內湖路3段,成功路4段
金山南路二段,33.81132075,1.227804542,14.60%,信義路,和平東路
金山南路二段30巷,24.62619808,1.846360827,37.50%,金山南路二段,信義路二段44巷
金山南路一段,48.16211878,1.25909287,12.70%,濟南路,信義路
錦西街,70.00690714,1.628022367,17.60%,寧夏路,中山北路
錦西街38巷,44.23094688,1.7990193,18.70%,錦西街,萬全街
錦西街53巷,73.63370474,1.479335762,12.20%,民權西路,錦西街
錦州街A,10.13522538,2.023159675,44.30%,中山北路,新生北路
錦州街B,10.69354839,2.017098358,23.00%,吉林路,中原街
錦州街C,80.56153219,1.947752952,22.10%,民生東路2段147巷,民權東路三段60巷
經貿二路62巷,45.88167939,2.19656808,21.80%,三重路,研究院路1段
景福街,287.3164557,2.134300363,9.40%,羅斯福路5段,羅斯福路6段
景華街,171.1156463,1.843474724,13.10%,景興路,興隆路2段
景華街128巷,40.704,1.698927062,12.80%,景興街,景華街128巷3弄
景華街97巷,39.39058172,1.747486402,9.30%,景華街121巷7弄,景興街
景隆街,83.13043478,2.247930703,15.30%,景福街,興隆路2段
景文街,2.696969697,1.935304991,49.00%,羅斯福路6段,木柵路1段
景文平面廣場,79.05862069,1.775661594,20.30%,景文街90巷內,
景興路,193.4972618,1.703166414,12.80%,興隆路,木柵路
景興路282巷,11.16516129,1.585700905,29.30%,景興路,景後街
景興路46巷,32.33891753,2.02187522,14.30%,景興路,三福街4巷
敬業二路,62.55632184,1.56737602,38.20%,北安路,樂群二路
敬業二路69巷,39.91494253,1.53949214,22.90%,敬業一路,敬業二路
敬業三路177巷,19.30645161,2.180493984,25.70%,敬業三路,樂群二路116巷
敬業一路,236.0735632,1.581520973,13.60%,植福路,樂群二路
敬業一路128巷,70.60475162,1.468404442,17.50%,敬業一路,敬業二路
敬業一路36巷,60.85714286,1.806215934,7.40%,敬業一路,敬業二路
酒泉街,52.50809061,1.484544897,15.40%,迪化街,環河北路
酒泉街,52.50809061,1.484544897,15.40%,中山北路,玉門街
舊宗路1段150巷,128.2994924,1.391394695,11.30%,堤頂大道1段,舊宗路1段
舊宗路2段121巷,9.92481203,0.967091295,17.30%,瑞湖街,舊宗路2段
舊宗路2段135巷,98.34594595,1.110914644,4.70%,瑞湖街,舊宗路2段
舊宗路2段171巷,14.95006402,1.596075641,33.60%,瑞湖街,舊宗路2段
舊宗路2段181巷,76.70207852,1.076281384,19.90%,瑞湖街,舊宗路2段
舊宗路2段213巷,448.4827586,0.894313968,2.10%,港墘路221巷,舊宗路2段
舊宗路二段,105.060241,0.422018349,0.20%,舊宗路2段213巷,港漧路
莒光路299巷,39.26267281,2.408194081,17.50%,莒光路,西藏路
莒光路A,70.37182448,1.515311764,12.90%,西園路,萬大路
莒光路B,69.43633414,1.86919036,13.60%,萬大路,和平西路
開封街二段,308.1920694,1.156673947,8.80%,中華路,環河南路
開封街一段A（累進計時）,23.47065338,1.426607774,14.70%,博愛路,重慶南路
開封街一段B（含機車）,204.3347339,1,5.40%,館前路,博愛路
開封街一段C（含機車）,85.10558252,1.039834935,12.20%,博愛路,中華路一段
康定路,5.474978796,1.394353202,14.60%,成都路,環河南路
康寧路1段,101.7142857,1.986094462,12.10%,星雲街,金湖路
克強路,44.45287356,1.386596773,19.80%,中山北路六段,磺溪街
